case_id,start_time,end_time,creator,variant,variant_index,activity,resource
Application_1000086665,2016-08-04T11:39:29,2016-08-04T11:50:12,Fluxicon Disco, Variant 1,1,W_Complete application,User_14
Application_1000086665,2016-08-05T12:01:23,2016-08-05T12:03:01,Fluxicon Disco, Variant 1,1,W_Call after offers,User_5
Application_1000086665,2016-08-09T16:25:01,2016-08-09T16:25:32,Fluxicon Disco, Variant 1,1,W_Call after offers,User_18
Application_1000867366,2016-07-20T05:51:05,2016-07-20T06:03:05,Fluxicon Disco, Variant 2,2,W_Complete application,User_62
Application_1000867366,2016-07-20T06:03:05,2016-07-20T06:05:20,Fluxicon Disco, Variant 2,2,W_Call after offers,User_62
Application_1000867366,2016-07-25T10:02:28,2016-07-25T10:04:38,Fluxicon Disco, Variant 2,2,W_Call after offers,User_42
Application_1000867366,2016-07-26T11:10:03,2016-07-26T11:21:51,Fluxicon Disco, Variant 2,2,W_Validate application,User_120
Application_1001854554,2016-08-24T15:50:00,2016-08-24T15:56:12,Fluxicon Disco, Variant 3,3,W_Complete application,User_18
Application_1001854554,2016-08-24T15:56:17,2016-08-24T15:56:28,Fluxicon Disco, Variant 3,3,W_Complete application,User_18
Application_1001854554,2016-08-25T05:11:53,2016-08-25T05:11:56,Fluxicon Disco, Variant 3,3,W_Call after offers,User_37
Application_1001854554,2016-08-29T14:58:16,2016-08-29T14:58:38,Fluxicon Disco, Variant 3,3,W_Call after offers,User_23
Application_1001858108,2016-08-15T06:13:41,2016-08-15T06:17:58,Fluxicon Disco, Variant 129,129,W_Complete application,User_33
Application_1001858108,2016-08-15T06:17:58,2016-08-15T06:25:33,Fluxicon Disco, Variant 129,129,W_Call after offers,User_33
Application_1001858108,2016-08-20T06:42:28,2016-08-20T06:42:59,Fluxicon Disco, Variant 129,129,W_Call after offers,User_28
Application_1001858108,2016-08-22T06:07:43,2016-08-22T06:14:16,Fluxicon Disco, Variant 129,129,W_Validate application,User_121
Application_1001858108,2016-08-22T06:14:16,2016-08-22T06:14:32,Fluxicon Disco, Variant 129,129,W_Call incomplete files,User_121
Application_1001858108,2016-08-22T10:40:26,2016-08-22T10:43:43,Fluxicon Disco, Variant 129,129,W_Call incomplete files,User_33
Application_1001858108,2016-08-23T06:28:51,2016-08-23T06:31:14,Fluxicon Disco, Variant 129,129,W_Validate application,User_27
Application_1001858108,2016-08-23T07:35:53,2016-08-23T07:36:07,Fluxicon Disco, Variant 129,129,W_Validate application,User_93
Application_1001858108,2016-08-23T11:41:32,2016-08-23T11:41:43,Fluxicon Disco, Variant 129,129,W_Call incomplete files,User_29
Application_1001858108,2016-08-24T05:53:36,2016-08-24T05:58:14,Fluxicon Disco, Variant 129,129,W_Call incomplete files,User_23
Application_1001858108,2016-08-24T11:29:39,2016-08-24T11:30:37,Fluxicon Disco, Variant 129,129,W_Validate application,User_122
Application_1001866944,2016-08-18T11:34:01,2016-08-18T11:34:08,Fluxicon Disco, Variant 274,274,W_Complete application,User_15
Application_1001866944,2016-08-18T11:40:52,2016-08-18T11:43:24,Fluxicon Disco, Variant 274,274,W_Complete application,User_5
